stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
0002,"0002","L.B. BLVD. & EIGHTH NE",,  33.776892,-118.189243,,,0
0004,"0004","L.B. BLVD. & TENTH NE",,  33.779319,-118.189242,,,0
0005,"0005","L.B. BLVD. & ANAHEIM NE",,  33.783121,-118.189280,,,0
0006,"0006","L.B. BLVD. & 15TH NE",,  33.786001,-118.189244,,,0
0007,"0007","L.B. BLVD. & 17TH NE",,  33.788304,-118.189252,,,0
0008,"0008","PCH & LOCUST NE",,  33.789930,-118.190938,,,0
0009,"0009","PCH & PACIFIC NW",,  33.789909,-118.194294,,,0
0010,"0010","PCH & CHESTNUT NW",,  33.789916,-118.196898,,,0
0011,"0011","PCH & MAGNOLIA NW",,  33.789957,-118.198484,,,0
0012,"0012","PCH & MAINE NW",,  33.789947,-118.200995,,,0
0013,"0013","HARBOR & PCH NE",,  33.790253,-118.210405,,,0
0014,"0014","HARBOR & 19TH NE",,  33.791846,-118.210419,,,0
0015,"0015","EASY & 20TH NE",,  33.793658,-118.209943,,,0
0016,"0016","EASY & 21ST NE",,  33.795482,-118.209990,,,0
0017,"0017","EASY & HILL NE",,  33.797214,-118.209938,,,0
0018,"0018","EASY & 23RD NE",,  33.799077,-118.209989,,,0
0019,"0019","EASY & BURNETT NE",,  33.800841,-118.209931,,,0
0020,"0020","EASY & 25TH NE",,  33.802671,-118.209935,,,0
0021,"0021","EASY & WILLOW NE",,  33.804652,-118.209973,,,0
0022,"0022","EASY & 27TH NE",,  33.806290,-118.209935,,,0
0023,"0023","EASY & 28TH NE",,  33.808111,-118.209933,,,0
0024,"0024","EASY & 29TH NE",,  33.809922,-118.209924,,,0
0025,"0025","EASY & SPRING NE",,  33.811851,-118.209988,,,0
0026,"0026","EASY & 32ND NE",,  33.815511,-118.210001,,,0
0027,"0027","EASY & 33RD NE",,  33.817297,-118.209982,,,0
0028,"0028","EASY & 34TH SE",,  33.818685,-118.209999,,,0
0029,"0029","DELTA & TAPER NE",,  33.819832,-118.211075,,,0
0030,"0030","DELTA & CAMERON NE",,  33.823126,-118.211053,,,0
0031,"0031","WARDLOW & SANTA FE NW",,  33.824481,-118.215933,,,0
0032,"0032","DELTA & WARDLOW SW",,  33.823439,-118.211160,,,0
0033,"0033","DELTA & ARLINGTON SW",,  33.821203,-118.211147,,,0
0034,"0034","DELTA & 34TH NW",,  33.819092,-118.211158,,,0
0035,"0035","EASY & 34TH SW",,  33.818712,-118.210078,,,0
0036,"0036","EASY & 33RD SW",,  33.816868,-118.210073,,,0
0037,"0037","EASY & 32ND SW",,  33.815041,-118.210062,,,0
0038,"0038","EASY & SPRING SW",,  33.811428,-118.210076,,,0
0039,"0039","EASY & 29TH SW",,  33.809642,-118.210088,,,0
0040,"0040","EASY & 28TH SW",,  33.807809,-118.210096,,,0
0041,"0041","EASY & 27TH SW",,  33.806001,-118.210072,,,0
0042,"0042","EASY & WILLOW SW",,  33.804025,-118.210051,,,0
0043,"0043","EASY & 25TH SW",,  33.802396,-118.210063,,,0
0044,"0044","EASY & BURNETT SW",,  33.800626,-118.210055,,,0
0045,"0045","EASY & 23RD SW",,  33.798760,-118.210084,,,0
0046,"0046","EASY & HILL SW",,  33.796848,-118.210066,,,0
0047,"0047","EASY & 21ST SW",,  33.795103,-118.210084,,,0
0048,"0048","HARBOR & 20TH SW",,  33.793275,-118.210580,,,0
0049,"0049","HARBOR & 19TH SW",,  33.791428,-118.210575,,,0
0050,"0050","PCH & HARBOR SE",,  33.789786,-118.210351,,,0
0051,"0051","PCH & OREGON SE",,  33.789777,-118.200715,,,0
0052,"0052","PCH & HENDERSON SE",,  33.789766,-118.197424,,,0
0053,"0053","PCH & CHESTNUT SE",,  33.789763,-118.195966,,,0
0054,"0054","PCH & PACIFIC SE",,  33.789756,-118.193353,,,0
0055,"0055","PCH & PINE SE",,  33.789753,-118.192076,,,0
0057,"0057","L.B. BLVD. & PCH SW",,  33.789526,-118.189591,,,0
0058,"0058","L.B. BLVD. & 16TH SW",,  33.786787,-118.189578,,,0
0059,"0059","L.B. BLVD. & 15TH SW",,  33.785033,-118.189554,,,0
